"bnum","int","cit","fsta","aktk","bed","aktf","aeda","uhr","mvnr","lfnr","ndat","nuhr","oaid","_hoodie_commit_time","sys_shard"
"732467059","15222612","10","1","8456","8880888","FER","2023-05-02 00:00:00.000","160648","9493743858","114.0","2023-05-02 00:00:00.000","160648","1029949245","20230707135908","12"
"734198782","15222612","162","10","9475","0","ANG","2023-05-12 00:00:00.000","15629","0","129.0","2023-05-12 00:00:00.000","15629","0","20230707135908","78"
"725683495","15222612","2430","10","2044","97814","ANG","2023-03-24 00:00:00.000","143000","0","51.0","2023-03-24 00:00:00.000","143000","0","20230707135908","46"
"734271728","15222612","162","0","10598","10012131","OUT","2023-05-12 00:00:00.000","112957","9494204959","134.0","2023-05-12 00:00:00.000","112957","1031170968","20230707135908","70"
"729898887","15222612","364","11","5609","8880888","WCR","2023-04-18 00:00:00.000","155037","9492779803","78.0","2023-04-18 00:00:00.000","155037","1029320318","20230707135908","64"
"731271632","15222612","364","3","7506","9000031277","BLO","2023-04-26 00:00:00.000","54338","9493644211","100.0","2023-04-26 00:00:00.000","54338","1029821002","20230707135908","41"
"734988695","15222612","162","10","10598","9000046363","ANG","2023-05-16 00:00:00.000","90000","0","135.0","2023-05-16 00:00:00.000","90000","0","20230707135908","0"
"721991574","15222612","11","4","534","8880888","IN","2023-03-01 00:00:00.000","121502","9491892197","7.0","2023-03-01 00:00:00.000","121502","0","20230707135908","73"
"723283531","15222612","2430","4","1910","8880888","IN","2023-03-09 00:00:00.000","154336","9492192937","35.0","2023-03-09 00:00:00.000","154336","0","20230707135908","9"
"731515300","15222612","364","1","7780","8880888","FER","2023-04-27 00:00:00.000","123633","9493644211","105.0","2023-04-27 00:00:00.000","123633","1029821002","20230707135908","21"
"722905209","15222612","2430","1","1271","8880888","FER","2023-03-07 00:00:00.000","70950","9492062898","24.0","2023-03-07 00:00:00.000","70950","1028148261","20230707135908","75"
"731028032","15222612","364","4","7129","8880888","IN","2023-04-24 00:00:00.000","174349","9493479448","91.0","2023-04-24 00:00:00.000","174349","1030222000","20230707135908","0"
"724657809","15222612","2430","1","2044","8880888","FER","2023-03-18 00:00:00.000","103627","9024218152","48.0","2023-03-18 00:00:00.000","103627","1028396622","20230707135908","75"
"731027871","15222612","364","11","7129","8880888","WCR","2023-04-24 00:00:00.000","174305","9493479448","90.0","2023-04-24 00:00:00.000","174305","1030222000","20230707135908","86"
"722804625","15222612","2430","10","739","96454","ANG","2023-03-06 00:00:00.000","143021","0","21.0","2023-03-06 00:00:00.000","143021","0","20230707135908","60"
"722903572","15222612","2430","11","1271","8880888","WCR","2023-03-07 00:00:00.000","64721","9492062898","22.0","2023-03-07 00:00:00.000","64721","1028148261","20230707135908","12"
"732468348","15222612","10","0","8456","9000024429","OUT","2023-05-02 00:00:00.000","161303","9493861943","120.0","2023-05-02 00:00:00.000","161303","1030765139","20230707135908","64"
